[id] 1
[content] 你是皇家美羊大学的某个即将上大二的计算机科学的学生，时间正值暑期小学期。
[content] 你目前正坐在电脑前挠头，C++课设的项目完全没有头绪啊.
[content] 一想到隔壁的x-k-x，x-t-y大佬都已经写完了，你更加心烦意乱。
[content] 你：“算了，这时候应该玩会游戏放松一下”
[content] 打开游戏后，你突然觉得脑子有些晕……
[content] “我要穿越了吗？”你在迷糊的时候这么想到
[content] 等你醒来时，你发现自己处于一个大型的魔法阵中央
[content] 迷糊中你听到了令人毛骨悚然的笑声，发出喜悦的声音人是在魔法阵边的一位罗马教会正装的中年人
[content] ……
[content] 等到你再醒来时，你发现人身着正装在床上躺着。
[content] 窗外的时间已经到了晚上
[content] “国王在楼下等你”，仆人传完话就离开了屋子，只留下你一个人在屋子里
[branch] <检查房间的选择分支>
[content] 你来到楼下。国王打扮的青年人和熟悉的罗马教会正装的中年人也在，旁白一个年纪大的管家在旁边服侍着：
[content] “余很高兴，年轻人，你的名字是什么”
[template] 我：我叫<name>，感谢陛下赏赐晚餐
[content] 国王：“客套话免了，你来自异世界，与其我告诉你，还是你问吧”
[content] 我：这是一个怎样的世界，你们召唤我的目的是什么
[content] 国王：初来乍到，就让大祭司给你描述一下这个世界吧
[content] 大祭司：这个世界有多个种族，我们人类只是其中的一个。前一段时间国王的女儿被恶龙抓走了，国王希望召唤勇士去救回公主。
[content] 【系统提示】：获得地图
[content] ……
[content] 经过长久的谈话，你拥有了这个世界的基本情报。明天你的异世界探险就真正的开始了
[content] 【系统提示】：操作列表
[content] Xxxxxx
[end]
