[id] 7
[content] 大祭司被你击败，你让向人民群众他坦白了自己是乔装成了人类和计划的邪恶目的，
[content] 大祭司：我催眠了巨龙，设计让公主被囚禁在魔王城…..
[content] 杀死了巨龙的齐格被人们尊称为英雄，而你，只不过是一个默默无闻的冒险者。
[content] 这样就可以吧，你这么想。
[content] 你还回了圣剑，拒绝了公主的求婚。
[content] 第七颗龙珠了呢？哦，它在巨龙的肚子里，齐格把它送给你作为谢礼。
[content] 你：我要召唤神龙了！
[content] 随着七颗龙珠发出刺眼的光线，一个龙的影子出现在你的视野中，由于四周的光线太亮了，你看不清龙的样貌
[content] 神龙：你的愿望是什么？
[content] 你：我要成为最聪明的人！
[content] 神龙：这不可能
[content] 你：我想学会高数离散现代！
[content] 神龙：我们还是说说第一个愿望吧……
[content] 你：……
[content] 最后，你许下了回到了原来的世界的愿望。你重新陷入沉睡
[content] 再醒来后你回到原来的世界，把构思写成了c++课设作业
[end]
